estimator,split,n,r2,mae,rmse
BaselineMean,train,314,0.0,0.09856746548258367,0.1238221456111109
BaselineMean,eval,92,-1.0841376709702644e-06,0.09727134128597875,0.12754741021429375
BaselineMean,test,88,-0.6159586602180906,0.1424439153161303,0.1845272285552987
BaselineSpatialNearest,train,314,1.0,0.0,0.0
BaselineSpatialNearest,eval,92,0.013441061369495633,0.09345343826897852,0.12668725536183148
BaselineSpatialNearest,test,88,-0.2898081101901149,0.1298334737370335,0.16485718794094556
BaselineDomainHeuristic,train,314,0.1790716425160911,0.07579954050212284,0.11218917495024343
BaselineDomainHeuristic,eval,92,0.22571897058727164,0.07247968116879872,0.11223303800672699
BaselineDomainHeuristic,test,88,-0.6217126339739707,0.14282139189909282,0.18485546137896675
LinearRegression,train,314,0.9996836785561998,0.0010026368456848833,0.002202229836973112
LinearRegression,eval,92,0.9990582712863922,0.0016607795679995422,0.003914121617400266
LinearRegression,test,88,0.8768561783541607,0.010565178058484155,0.05093914480951331
