key,district_lbl,priority,gi_z,gi_p,hotspot,lisa_quadrant,lisa_p
03020,Sants-Montjuic,0.0033601737455692835,11.613883362201468,0.0,hot,HH,0.001
03025,Sants-Montjuic,0.05227278418623923,10.788788593506263,0.0,hot,HH,0.003
03032,Sants-Montjuic,0.0,10.123679934731578,0.0,hot,LH,0.001
03045,Sants-Montjuic,0.0,10.060074016835598,0.0,hot,LH,0.001
03006,Sants-Montjuic,0.0003892884217427828,9.793761212292376,0.0,hot,LH,0.004
02150,Eixample,0.0020167302959730273,8.650758620808537,0.0,hot,HH,0.001
03053,Sants-Montjuic,0.0,8.643454792399776,0.0,hot,LH,0.005
03046,Sants-Montjuic,0.00021740961565167111,8.156411020870983,4.440892098500626e-16,hot,LH,0.004
10056,Sant Marti,0.009242754340793557,8.1384065368202,4.440892098500626e-16,hot,HH,0.001
03038,Sants-Montjuic,0.0004666907979957338,7.865179454213368,3.552713678800501e-15,hot,LH,0.004
03023,Sants-Montjuic,0.00030790209965328284,7.843320130728128,4.440892098500626e-15,hot,LH,0.002
02149,Eixample,0.007456381484440984,7.373842178718954,1.6564527527407336e-13,hot,HH,0.003
03004,Sants-Montjuic,0.0010077960128670068,7.350768674841902,1.971756091734278e-13,hot,LH,0.001
03013,Sants-Montjuic,0.0,7.219480252383701,5.218048215738236e-13,hot,LH,0.005
03054,Sants-Montjuic,0.0017146618312946914,7.21943905739705,5.220268661787486e-13,hot,LH,0.004
03005,Sants-Montjuic,0.0012579308978903298,7.210067197933843,5.591083152012288e-13,hot,LH,0.008
02154,Eixample,0.00031643912644588773,6.959864604199201,3.4061642395499803e-12,hot,LH,0.003
03022,Sants-Montjuic,0.0027290028980360283,6.859820726995382,6.894707027527147e-12,hot,HH,0.002
10086,Sant Marti,0.0034933513635339196,6.812255018613879,9.60809209971103e-12,hot,HH,0.007
10052,Sant Marti,0.02506897917648425,6.786799008836764,1.1464829086094142e-11,hot,HH,0.012
03047,Sants-Montjuic,0.00014825969863157152,6.786758890781129,1.1468159755168017e-11,hot,LH,0.002
03011,Sants-Montjuic,0.00015167450934861347,6.64781059531403,2.974842594483107e-11,hot,LH,0.005
03008,Sants-Montjuic,0.0,6.591167255590825,4.363820416131148e-11,hot,LH,0.009
03039,Sants-Montjuic,0.0028499441109312643,6.581833849459814,4.6468162651081e-11,hot,HH,0.005
03007,Sants-Montjuic,0.0,6.545916195526091,5.913181055916539e-11,hot,LH,0.01
03042,Sants-Montjuic,0.004215014695068785,6.476312135488983,9.399148126476575e-11,hot,HH,0.004
10051,Sant Marti,0.007947971943915147,6.22027241141381,4.962923405571473e-10,hot,HH,0.009
02079,Eixample,0.008719861449746506,6.169759901277884,6.839377952871928e-10,hot,HH,0.009
10043,Sant Marti,0.022804105968406173,6.1127908763490115,9.79036407500189e-10,hot,HH,0.008
10090,Sant Marti,0.003894307055226596,6.103691568927237,1.0364620273151104e-09,hot,HH,0.007
10093,Sant Marti,0.00475256281544314,6.090533429617989,1.125350923558699e-09,hot,HH,0.007
