rank,key,district_lbl,plane_count,mature_count,exposure_pop,source_std,exposure_std,priority,priority_std
1,03024,Sants-Montjuic,1840,594,2031.0,1.0,0.10767410412440838,0.10767410412440838,1.0
2,10089,Sant Marti,207,76,7337.0,0.12794612794612795,0.5561189993238674,0.07115327264076418,0.6608206608206608
3,03025,Sants-Montjuic,332,152,3174.0,0.2558922558922559,0.2042765382014875,0.05227278418623923,0.4854721997579141
4,10042,Sant Marti,492,91,3713.0,0.1531986531986532,0.24983096686950643,0.03827376765172573,0.3554593554593555
5,02077,Eixample,338,209,1843.0,0.35185185185185186,0.09178498985801217,0.03229471865374502,0.29993022850165707
6,01043,Ciutat Vella,415,202,1797.0,0.3400673400673401,0.0878972278566599,0.02989097647650724,0.2776059918917062
7,10055,Sant Marti,278,116,2555.0,0.19528619528619529,0.15196078431372548,0.029675843401333595,0.27560798989370416
8,10052,Sant Marti,278,105,2435.0,0.17676767676767677,0.1418187964841109,0.02506897917648425,0.23282273282273286
9,10043,Sant Marti,277,63,3301.0,0.10606060606060606,0.2150101419878296,0.022804105968406173,0.2117882117882118
10,02081,Eixample,161,94,2268.0,0.15824915824915825,0.12770453008789723,0.02020913439101404,0.18768797340225915
11,04055,Les Corts,272,151,1647.0,0.2542087542087542,0.07521974306964165,0.019121517177636178,0.17758696330124904
12,04056,Les Corts,221,100,1977.0,0.16835016835016836,0.10311020960108182,0.01735862114496327,0.16121444692873269
13,02083,Eixample,157,85,2002.0,0.14309764309764308,0.10522312373225153,0.015057181005456867,0.139840318411747
14,02091,Eixample,148,96,1857.0,0.16161616161616163,0.09296822177146721,0.0150251671549846,0.13954299668585385
15,09014,Sant Andreu,64,24,4528.0,0.04040404040404041,0.31871196754563896,0.012877251213965211,0.11959469102326246
16,10094,Sant Marti,401,31,3664.0,0.05218855218855219,0.24568965517241378,0.012822187391152907,0.11908329765472622
17,09009,Sant Andreu,380,135,1419.0,0.22727272727272727,0.055949966193373904,0.012715901407584978,0.11809618952476096
18,04052,Les Corts,256,59,2210.0,0.09932659932659933,0.1228025693035835,0.012197561597493986,0.11328222042507759
19,02073,Eixample,107,80,1800.0,0.13468013468013468,0.08815077755240026,0.01187215859291586,0.11026011026011025
20,10138,Sant Marti,76,27,3322.0,0.045454545454545456,0.21678498985801217,0.00985386317536419,0.09151562722991295
21,01055,Ciutat Vella,293,110,1382.0,0.18518518518518517,0.05282285327924273,0.00978200986652643,0.09084830513401941
22,02080,Eixample,164,74,1655.0,0.12457912457912458,0.07589587559161595,0.009455041740369664,0.08781165924023067
23,10056,Sant Marti,253,58,1877.0,0.09764309764309764,0.09465855307640297,0.009242754340793557,0.08584008584008584
24,10053,Sant Marti,216,69,1669.0,0.11616161616161616,0.07707910750507099,0.008953633700084004,0.08315494029779744
25,10076,Sant Marti,269,41,2286.0,0.06902356902356903,0.12922582826233941,0.008919627876693462,0.08283911855340427
26,02159,Eixample,59,51,1966.0,0.08585858585858586,0.10218052738336714,0.008773075583420411,0.08147804576376005
27,02079,Eixample,154,85,1478.0,0.14309764309764308,0.06093644354293441,0.008719861449746506,0.08098383098383098
28,02084,Eixample,74,45,2105.0,0.07575757575757576,0.11392832995267073,0.00863093408732354,0.08015793730079446
29,02160,Eixample,69,45,2083.0,0.07575757575757576,0.11206896551724138,0.00849007314524556,0.07884972170686456
30,01030,Ciutat Vella,56,33,2543.0,0.05555555555555555,0.15094658553076404,0.00838592141837578,0.07788243502529217
31,09015,Sant Andreu,129,45,2047.0,0.07575757575757576,0.10902636916835699,0.008259573421845226,0.07670900528043385
