section_rank,section_key,district,street,n_planes,n_mature,suggested_remove,example_codis
1,03024,Sants-Montjuic,Av Estadi,277,114,114,0175348AR;0175349AR;0175360AR
1,03024,Sants-Montjuic,Av Miramar,224,100,100,0086414AR;0086457AR;0175339AR
1,03024,Sants-Montjuic,Pl Carles Buïgas,117,72,72,0175350AR;0175382AR;0175386AR
1,03024,Sants-Montjuic,Av Francesc Ferrer i Guàrdia,92,51,51,0175338AR;0175351AR;0175373AR
1,03024,Sants-Montjuic,Av Rius i Taulet,56,50,50,0175489AR;0175499AR;0175590AR
1,03024,Sants-Montjuic,Pg Jean C. N. Forestier,43,36,36,0175336AR;0175455AR;0175474AR
1,03024,Sants-Montjuic,Pg Migdia,282,34,34,0175353AR;0175391AR;0175400AR
1,03024,Sants-Montjuic,C\ Jocs del 92,99,28,28,0175335AR;0175347AR;0175470AR
1,03024,Sants-Montjuic,C\ Mirador del Palau Nacional,27,22,22,0175413AR;0175637AR;0175686AR
1,03024,Sants-Montjuic,C\ Foc,90,21,21,0175352AR;0175361AR;0175445AR
1,03024,Sants-Montjuic,Pg Olímpic,215,20,20,0175346AR;0175355AR;0175392AR
1,03024,Sants-Montjuic,C\ Doctor Font i Quer,105,12,12,0175378AR;0175381AR;0175387AR
1,03024,Sants-Montjuic,C\ Can Valero,45,7,7,0175390AR;0175430AR;0175442AR
1,03024,Sants-Montjuic,Av Paral·lel,19,6,6,0175587AR;0175645AR;0175941AR
1,03024,Sants-Montjuic,C\ Tarongers,36,6,6,0176442AR;0177478AR;0178181AR
1,03024,Sants-Montjuic,Pg Exposició,75,6,6,0085324AR;0085325AR;0085365AR
1,03024,Sants-Montjuic,C\ Mare de Déu de Port,14,5,5,0087472AR;0087498AR;0087580AR
1,03024,Sants-Montjuic,Pg Miramar,9,2,2,0085425AR;0085498AR;0086067AR
1,03024,Sants-Montjuic,C\ Lleida,11,1,1,0175858AR;0176006AR;0176009AR
1,03024,Sants-Montjuic,C\ Nou de la Rambla,1,1,1,0087291AR
1,03024,Sants-Montjuic,Ctra B-10 (Llobregat),2,0,0,0341751AR;0341752AR
1,03024,Sants-Montjuic,Pg Josep Carner,1,0,0,0341277AR
2,10089,Sant Marti,C\ Maresme,47,32,32,0235580AR;0235588AR;0235658AR
2,10089,Sant Marti,Rbla Prim,100,17,17,0235675AR;0235685AR;0235743AR
2,10089,Sant Marti,C\ Cristóbal de Moura,33,16,16,0235595AR;0235760AR;0236184AR
2,10089,Sant Marti,C\ Josep Pla,25,9,9,0235663AR;0236140AR;0236208AR
2,10089,Sant Marti,C\ Pere IV,2,2,2,0235848AR;0236338AR
3,03025,Sants-Montjuic,C\ Tortosa,46,38,38,0081738AR;0081741AR;0081759AR
3,03025,Sants-Montjuic,C\ Encuny,25,20,20,0081758AR;0081820AR;0081842AR
3,03025,Sants-Montjuic,C\ Foc,59,19,19,0081748AR;0081751AR;0081778AR
3,03025,Sants-Montjuic,Pl Falset,37,17,17,0081788AR;0081808AR;0081851AR
3,03025,Sants-Montjuic,C\ Cisell,18,12,12,0081770AR;0081858AR;0081860AR
3,03025,Sants-Montjuic,C\ Cobalt,39,12,12,0081796AR;0081799AR;0081830AR
3,03025,Sants-Montjuic,C\ Plom,46,10,10,0081752AR;0081781AR;0081817AR
3,03025,Sants-Montjuic,C\ Arnes,13,7,7,0081742AR;0082052AR;0082091AR
3,03025,Sants-Montjuic,C\ Pontils,7,6,6,0081883AR;0082207AR;0082223AR
3,03025,Sants-Montjuic,C\ Cal Cisó,11,3,3,0308026AR;0308027AR;0308028AR
3,03025,Sants-Montjuic,C\ Mare de Déu de Port,3,2,2,0087501AR;0087570AR;0087582AR
3,03025,Sants-Montjuic,C\ Ulldecona,5,2,2,0308031AR;0308032AR;0308033AR
3,03025,Sants-Montjuic,Pl Nou,18,2,2,0081888AR;0081913AR;0081970AR
3,03025,Sants-Montjuic,C\ Motors,3,1,1,0331901AR;0331904AR;0331905AR
3,03025,Sants-Montjuic,Parc Tretze Roses,1,1,1,0082346AR
3,03025,Sants-Montjuic,C\ Acer,1,0,0,0331910AR
4,10042,Sant Marti,C\ Ciutat de Granada,85,24,24,0026756AR;0026802AR;0026810AR
4,10042,Sant Marti,C\ Sancho de Ávila,40,17,17,0026894AR;0027077AR;0027089AR
4,10042,Sant Marti,Av Diagonal,157,10,10,0026149AR;0026750AR;0026764AR
4,10042,Sant Marti,C\ Almogàvers,17,9,9,0026841AR;0027142AR;0027190AR
4,10042,Sant Marti,C\ Àvila,54,9,9,0026793AR;0026863AR;0026888AR
4,10042,Sant Marti,C\ Badajoz,29,6,6,0026757AR;0026817AR;0026858AR
4,10042,Sant Marti,C\ Tànger,18,6,6,0026786AR;0027096AR;0027395AR
4,10042,Sant Marti,C\ Llacuna,60,5,5,0026763AR;0026776AR;0026808AR
4,10042,Sant Marti,C\ Bolívia,31,4,4,0026806AR;0027130AR;0027160AR
4,10042,Sant Marti,C\ Pallars,1,1,1,0027771AR
5,02077,Eixample,G.V. Corts Catalanes,114,64,64,0094763AR;0094814AR;0094845AR
5,02077,Eixample,Pg Gràcia,81,42,42,0094792AR;0094800AR;0094835AR
5,02077,Eixample,Pl Catalunya,53,39,39,0094793AR;0094856AR;0094919AR
5,02077,Eixample,Pl Urquinaona,31,27,27,0095225AR;0095491AR;0095520AR
5,02077,Eixample,C\ Pau Claris,21,18,18,0094762AR;0094867AR;0094999AR
5,02077,Eixample,C\ Casp,11,8,8,0095550AR;0096577AR;0096749AR
5,02077,Eixample,Rda Sant Pere,20,8,8,0094797AR;0094837AR;0095255AR
5,02077,Eixample,Pl Universitat,6,2,2,0095106AR;0095541AR;0096189AR
5,02077,Eixample,C\ Fontanella,1,1,1,0100257AR
6,01043,Ciutat Vella,Pg Pujades,113,69,69,0113176AR;0113177AR;0113203AR
6,01043,Ciutat Vella,Pg Picasso,92,55,55,0113192AR;0113195AR;0113215AR
6,01043,Ciutat Vella,Pla Palau,32,30,30,0113194AR;0113197AR;0113220AR
6,01043,Ciutat Vella,Pg Circumval·lació,96,23,23,0113168AR;0113169AR;0113184AR
6,01043,Ciutat Vella,C\ Doctor Aiguader,52,16,16,0113173AR;0113243AR;0113282AR
6,01043,Ciutat Vella,Pl Correus,15,9,9,0113365AR;0113504AR;0113716AR
6,01043,Ciutat Vella,Pg Isabel II,15,0,0,0113236AR;0113343AR;0113385AR
